x       y       id    rot    scale sx    sy    nt  class       AABB
1065.00    4.00    61    0.0  1.00  1.00  1.00  0  hazard:0    9.00x7.20
1065.00   13.50   157    0.0  1.00  1.00  1.00  0  decor       -
1079.00    1.00    86    0.0  1.00  1.00  1.00  0  decor       -
1079.00    1.00    89    0.0  1.00  1.00  1.00  0  hazard:1    43.20x43.20
1079.00  149.00   141    0.0  1.00  1.00  1.00  0  orb:1       36.00x36.00
1079.00  149.00   154    0.0  1.00  1.00  1.00  0  decor       -
1083.00   59.00    50    0.0  1.00  1.00  1.00  0  decor       -
1083.00   59.00    85    0.0  1.00  1.00  1.00  0  decor       -
1083.00   59.00    88    0.0  1.00  1.00  1.00  0  hazard:1    64.60x64.60
1083.00  555.00    27    0.0  1.00  1.00  1.00  0  decor       -
1083.00  585.00    29    0.0  1.00  1.00  1.00  0  decor       -
1095.00    4.00    61    0.0  1.00  1.00  1.00  0  hazard:0    9.00x7.20
1095.00   13.50   157    0.0  1.00  1.00  1.00  0  decor       -
1113.00  585.00    29    0.0  1.00  1.00  1.00  0  decor       -
1121.00   57.00   151   90.0  1.00  1.00  1.00  0  decor       -
1125.00    4.00    61    0.0  1.00  1.00  1.00  0  hazard:0    9.00x7.20
1125.00   13.50   157    0.0  1.00  1.00  1.00  0  decor       -
1139.00  279.00    50    0.0  1.00  1.00  1.00  0  decor       -
1139.00  279.00    85    0.0  1.00  1.00  1.00  0  decor       -
1139.00  279.00    88    0.0  1.00  1.00  1.00  0  hazard:1    64.60x64.60
1155.00   15.00   117  -90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1155.00   45.00   117  -90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1155.00   75.00   117  -90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1155.00  105.00   118    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1155.00  134.00    16    0.0  1.00  1.00  1.00  0  decor       -
1155.00  285.00   118  -90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1155.00  315.00   117  -90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1155.00  345.00   117  -90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1155.00  375.00   117  -90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1155.00  405.00   117  -90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1155.00  435.00   117  -90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1155.00  465.00   117  -90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1155.00  495.00   117  -90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1185.00   15.00   120    0.0  1.00  1.00  1.00  0  decor       -
1185.00   45.00   120    0.0  1.00  1.00  1.00  0  decor       -
1185.00   75.00   120    0.0  1.00  1.00  1.00  0  decor       -
1185.00  105.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1185.00  153.50    41    0.0  1.00  1.00  1.00  0  decor       -
1185.00  195.00    50    0.0  1.00  1.00  1.00  0  decor       -
1185.00  236.50    41    0.0  1.00  1.00  1.00  0  decor       -
1185.00  285.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1185.00  315.00   120    0.0  1.00  1.00  1.00  0  decor       -
1185.00  345.00   120    0.0  1.00  1.00  1.00  0  decor       -
1185.00  375.00   120    0.0  1.00  1.00  1.00  0  decor       -
1185.00  405.00   120    0.0  1.00  1.00  1.00  0  decor       -
1185.00  435.00   120    0.0  1.00  1.00  1.00  0  decor       -
1185.00  465.00   120    0.0  1.00  1.00  1.00  0  decor       -
1185.00  495.00   120    0.0  1.00  1.00  1.00  0  decor       -
1215.00   15.00   120    0.0  1.00  1.00  1.00  0  decor       -
1215.00   45.00   120    0.0  1.00  1.00  1.00  0  decor       -
1215.00   75.00   120    0.0  1.00  1.00  1.00  0  decor       -
1215.00  105.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1215.00  285.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1215.00  315.00   120    0.0  1.00  1.00  1.00  0  decor       -
1215.00  345.00   120    0.0  1.00  1.00  1.00  0  decor       -
1215.00  375.00   120    0.0  1.00  1.00  1.00  0  decor       -
1215.00  405.00   120    0.0  1.00  1.00  1.00  0  decor       -
1215.00  435.00   120    0.0  1.00  1.00  1.00  0  decor       -
1215.00  465.00   120    0.0  1.00  1.00  1.00  0  decor       -
1215.00  495.00   120    0.0  1.00  1.00  1.00  0  decor       -
1227.00  135.00   191    0.0  1.00  1.00  1.00  0  decor       -
1245.00   15.00   120    0.0  1.00  1.00  1.00  0  decor       -
1245.00   45.00   120    0.0  1.00  1.00  1.00  0  decor       -
1245.00   75.00   119   90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1245.00  105.00   118   90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1245.00  285.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1245.00  315.00   120    0.0  1.00  1.00  1.00  0  decor       -
1245.00  345.00   120    0.0  1.00  1.00  1.00  0  decor       -
1245.00  375.00   120    0.0  1.00  1.00  1.00  0  decor       -
1245.00  405.00   120    0.0  1.00  1.00  1.00  0  decor       -
1245.00  435.00   120    0.0  1.00  1.00  1.00  0  decor       -
1245.00  465.00   120    0.0  1.00  1.00  1.00  0  decor       -
1245.00  495.00   120    0.0  1.00  1.00  1.00  0  decor       -
1251.00  129.00   103    0.0  1.00  1.00  1.00  0  hazard:0    4.00x7.60
1275.00   15.00   120    0.0  1.00  1.00  1.00  0  decor       -
1275.00   45.00   120    0.0  1.00  1.00  1.00  0  decor       -
1275.00   75.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1275.00  105.00     8    0.0  1.00  1.00  1.00  0  hazard:0    6.00x12.00
1275.00  285.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1275.00  315.00   120    0.0  1.00  1.00  1.00  0  decor       -
1275.00  345.00   120    0.0  1.00  1.00  1.00  0  decor       -
1275.00  375.00   120    0.0  1.00  1.00  1.00  0  decor       -
1275.00  405.00   120    0.0  1.00  1.00  1.00  0  decor       -
1275.00  435.00   120    0.0  1.00  1.00  1.00  0  decor       -
1275.00  465.00   120    0.0  1.00  1.00  1.00  0  decor       -
1275.00  495.00   120    0.0  1.00  1.00  1.00  0  decor       -
1305.00   15.00   120    0.0  1.00  1.00  1.00  0  decor       -
1305.00   45.00   120    0.0  1.00  1.00  1.00  0  decor       -
1305.00   75.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1305.00  105.00   191    0.0  1.00  1.00  1.00  0  decor       -
1305.00  285.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1305.00  315.00   120    0.0  1.00  1.00  1.00  0  decor       -
1305.00  345.00   120    0.0  1.00  1.00  1.00  0  decor       -
1305.00  375.00   120    0.0  1.00  1.00  1.00  0  decor       -
1305.00  405.00   120    0.0  1.00  1.00  1.00  0  decor       -
1305.00  435.00   120    0.0  1.00  1.00  1.00  0  decor       -
1305.00  465.00   120    0.0  1.00  1.00  1.00  0  decor       -
1305.00  495.00   120    0.0  1.00  1.00  1.00  0  decor       -
1335.00   15.00   120    0.0  1.00  1.00  1.00  0  decor       -
1335.00   45.00   120    0.0  1.00  1.00  1.00  0  decor       -
1335.00   75.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1335.00  123.50    41    0.0  1.00  1.00  1.00  0  decor       -
1335.00  165.00    50    0.0  1.00  1.00  1.00  0  decor       -
1335.00  206.50    41    0.0  1.00  1.00  1.00  0  decor       -
1335.00  255.00   118  -90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1335.00  285.00   119  -90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1335.00  315.00   120    0.0  1.00  1.00  1.00  0  decor       -
1335.00  345.00   120    0.0  1.00  1.00  1.00  0  decor       -
1335.00  375.00   120    0.0  1.00  1.00  1.00  0  decor       -
