x       y       id    rot    scale sx    sy    nt  class       AABB
 773.69  101.60    17    0.0  1.00  1.00  1.00  0  decor       -
 775.00  115.00   672  180.0  1.00  1.00  1.00  0  decor       -
 775.00  145.00   671    0.0  1.00  1.00  1.00  0  decor       -
 775.00  175.00   671    0.0  1.00  1.00  1.00  0  decor       -
 775.50  190.00   991 -180.0  1.00  1.00  1.00  0  hazard:0    2.40x3.20
 775.50  190.00   992 -180.0  1.00  1.00  1.00  0  decor       -
 783.50   33.50   720    0.0  1.00  1.00  1.00  0  hazard:0    2.40x3.20
 783.50   33.50   721    0.0  1.00  1.00  1.00  0  decor       -
 785.00   82.50   512   90.0  1.00  1.00  1.00  0  decor       -
 785.00   83.50   986  -90.0  1.00  1.00  1.00  0  decor       -
 785.00   95.00   509    0.0  1.00  1.00  1.00  0  decor       -
 785.00   95.00   983    0.0  1.00  1.00  1.00  0  decor       -
 787.00  208.50   989 -180.0  1.00  1.00  1.00  0  hazard:0    9.00x12.00
 787.00  208.50   990 -180.0  1.00  1.00  1.00  0  decor       -
 787.00  238.50    94    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
 787.00  268.50   989    0.0  1.00  1.00  1.00  0  hazard:0    9.00x12.00
 787.00  268.50   990    0.0  1.00  1.00  1.00  0  decor       -
 795.00    6.50   419    0.0  1.00  1.00  1.00  0  decor       -
 795.00    9.00   738    0.0  1.00  1.00  1.00  0  decor       -
 795.00   12.50   419    0.0  1.00  1.00  1.00  0  decor       -
 795.00   15.00   738    0.0  1.00  1.00  1.00  0  decor       -
 795.00   15.00   989   90.0  1.00  1.00  1.00  0  hazard:0    12.00x9.00
 795.00   15.00   990   90.0  1.00  1.00  1.00  0  decor       -
 795.00   45.00   669    0.0  1.00  1.00  1.00  0  decor       -
 798.50  287.00   991    0.0  1.00  1.00  1.00  0  hazard:0    2.40x3.20
 798.50  287.00   992    0.0  1.00  1.00  1.00  0  decor       -
 804.98  221.37   676    0.0  1.00  1.00  1.00  0  hazard:1    35.02x35.02
 805.50  220.00   991 -180.0  1.00  1.00  1.00  0  hazard:0    2.40x3.20
 805.50  220.00   992 -180.0  1.00  1.00  1.00  0  decor       -
 805.50  287.00   991 -270.0  1.00  1.00  1.00  0  hazard:0    3.20x2.40
 805.50  287.00   992 -270.0  1.00  1.00  1.00  0  decor       -
 817.00  238.50   989  180.0  1.00  1.00  1.00  0  hazard:0    9.00x12.00
 817.00  238.50   990 -180.0  1.00  1.00  1.00  0  decor       -
 817.00  268.50   989   90.0  1.00  1.00  1.00  0  hazard:0    12.00x9.00
 817.00  268.50   990 -270.0  1.00  1.00  1.00  0  decor       -
 825.00    6.00   421    0.0  1.00  1.00  1.00  0  hazard:0    9.00x5.20
 825.00    6.50   419    0.0  1.00  1.00  1.00  0  decor       -
 825.00   12.50   419    0.0  1.00  1.00  1.00  0  decor       -
 825.00   15.00   669    0.0  1.00  1.00  1.00  0  decor       -
 831.00  435.00  1006    0.0  1.00  1.00  1.00  0  decor       -
 831.00  495.00  1006    0.0  1.00  1.00  1.00  0  decor       -
 835.50  250.00   991 -180.0  1.00  1.00  1.00  0  hazard:0    2.40x3.20
 835.50  250.00   992 -180.0  1.00  1.00  1.00  0  decor       -
 835.50  257.00   991 -270.0  1.00  1.00  1.00  0  hazard:0    3.20x2.40
 835.50  257.00   992 -270.0  1.00  1.00  1.00  0  decor       -
 840.57  374.00   667   63.0  1.00  1.00  1.00  0  hazard:0    9.43x10.74
 840.57  374.00   719   63.0  1.00  1.00  1.00  0  decor       -
 848.83   18.00   918  -65.0  1.00  1.00  1.00  0  hazard:1    48.00x48.00
 851.00   15.00   998    0.0  0.93  1.00  1.00  0  decor       -
 854.19  347.27   667   63.0  1.00  1.00  1.00  0  hazard:0    9.43x10.74
 854.19  347.27   719   63.0  1.00  1.00  1.00  0  decor       -
 855.00    6.00   421    0.0  1.00  1.00  1.00  0  hazard:0    9.00x5.20
 855.00    6.50   419    0.0  1.00  1.00  1.00  0  decor       -
 855.00   12.50   419    0.0  1.00  1.00  1.00  0  decor       -
 855.00  360.00   688   90.0  1.00  1.00  1.00  0  decor       -
 867.00  149.00   101    0.0  1.00  1.00  1.00  0  portal:11   31.00x90.00
