x       y       id    rot    scale sx    sy    nt  class       AABB
1719.00   15.00   453    0.0  1.00  1.00  1.00  0  decor       -
1719.00   45.00   453    0.0  1.00  1.00  1.00  0  decor       -
1719.00   75.00   453    0.0  1.00  1.00  1.00  0  decor       -
1719.00  105.00   454    0.0  1.00  1.00  1.00  0  decor       -
1725.00    7.00   446    0.0  1.00  1.00  1.00  0  hazard:0    9.00x7.20
1725.00   11.00   227    0.0  1.00  1.00  1.00  0  decor       -
1725.00  351.00   218 -180.0  1.00  1.00  1.00  0  hazard:0    4.00x7.60
1725.00  360.75   468    0.0  1.00  1.00  1.00  0  solid:0     30.00x1.50
1725.00  375.00   480  -90.0  1.00  1.00  1.00  0  decor       -
1725.00  405.00   477    0.0  1.00  1.00  1.00  0  decor       -
1725.00  435.00   477    0.0  1.00  1.00  1.00  0  decor       -
1725.00  465.00   477    0.0  1.00  1.00  1.00  0  decor       -
1725.00  495.00   477    0.0  1.00  1.00  1.00  0  decor       -
1735.00   15.00   507  -90.0  1.00  1.00  1.00  0  decor       -
1735.00   15.00   543  -90.0  1.00  1.00  1.00  0  decor       -
1735.00   45.00   507  -90.0  1.00  1.00  1.00  0  decor       -
1735.00   45.00   543  -90.0  1.00  1.00  1.00  0  decor       -
1735.00   75.00   507  -90.0  1.00  1.00  1.00  0  decor       -
1735.00   75.00   543  -90.0  1.00  1.00  1.00  0  decor       -
1735.00  105.00   507  -90.0  1.00  1.00  1.00  0  decor       -
1735.00  105.00   543  -90.0  1.00  1.00  1.00  0  decor       -
1735.00  125.00   509    0.0  1.00  1.00  1.00  0  decor       -
1735.00  125.00   545    0.0  1.00  1.00  1.00  0  decor       -
1740.75   15.00   468  -90.0  1.00  1.00  1.00  0  solid:0     1.50x30.00
1740.75   45.00   468  -90.0  1.00  1.00  1.00  0  solid:0     1.50x30.00
1740.75   75.00   468  -90.0  1.00  1.00  1.00  0  solid:0     1.50x30.00
1755.00   15.00   480    0.0  1.00  1.00  1.00  0  decor       -
1755.00   45.00   480    0.0  1.00  1.00  1.00  0  decor       -
1755.00   75.00   480    0.0  1.00  1.00  1.00  0  decor       -
1755.00  105.00   469    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1755.00  105.00   479    0.0  1.00  1.00  1.00  0  decor       -
1755.00  125.00   507    0.0  1.00  1.00  1.00  0  decor       -
1755.00  125.00   543    0.0  1.00  1.00  1.00  0  decor       -
1755.00  351.00   218 -180.0  1.00  1.00  1.00  0  hazard:0    4.00x7.60
1755.00  360.75   468    0.0  1.00  1.00  1.00  0  solid:0     30.00x1.50
1755.00  375.00   480  -90.0  1.00  1.00  1.00  0  decor       -
1755.00  405.00   477    0.0  1.00  1.00  1.00  0  decor       -
1755.00  435.00   477    0.0  1.00  1.00  1.00  0  decor       -
1755.00  465.00   477    0.0  1.00  1.00  1.00  0  decor       -
1755.00  495.00   477    0.0  1.00  1.00  1.00  0  decor       -
1785.00   15.00   477    0.0  1.00  1.00  1.00  0  decor       -
1785.00   45.00   477    0.0  1.00  1.00  1.00  0  decor       -
1785.00   75.00   477    0.0  1.00  1.00  1.00  0  decor       -
1785.00  105.00   480   90.0  1.00  1.00  1.00  0  decor       -
1785.00  119.25   468    0.0  1.00  1.00  1.00  0  solid:0     30.00x1.50
1785.00  125.00   507    0.0  1.00  1.00  1.00  0  decor       -
1785.00  125.00   543    0.0  1.00  1.00  1.00  0  decor       -
1785.00  351.00   218 -180.0  1.00  1.00  1.00  0  hazard:0    4.00x7.60
1785.00  375.00   469    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1785.00  375.00   479    0.0  1.00  1.00  1.00  0  decor       -
1785.00  405.00   480 -180.0  1.00  1.00  1.00  0  decor       -
1785.00  435.00   480 -180.0  1.00  1.00  1.00  0  decor       -
1785.00  465.00   480 -180.0  1.00  1.00  1.00  0  decor       -
1785.00  495.00   480 -180.0  1.00  1.00  1.00  0  decor       -
1799.25  405.00   468   90.0  1.00  1.00  1.00  0  solid:0     1.50x30.00
1799.25  435.00   468   90.0  1.00  1.00  1.00  0  solid:0     1.50x30.00
1799.25  465.00   468   90.0  1.00  1.00  1.00  0  solid:0     1.50x30.00
1799.25  495.00   468   90.0  1.00  1.00  1.00  0  solid:0     1.50x30.00
1813.00  379.00   454   90.0  1.00  1.00  1.00  0  decor       -
1813.00  409.00   453    0.0  1.00  1.00  1.00  0  decor       -
1813.00  439.00   453    0.0  1.00  1.00  1.00  0  decor       -
1813.00  469.00   453    0.0  1.00  1.00  1.00  0  decor       -
1813.00  499.00   453    0.0  1.00  1.00  1.00  0  decor       -
1815.00   15.00   477    0.0  1.00  1.00  1.00  0  decor       -
1815.00   45.00   477    0.0  1.00  1.00  1.00  0  decor       -
1815.00   75.00   477    0.0  1.00  1.00  1.00  0  decor       -
1815.00  105.00   480   90.0  1.00  1.00  1.00  0  decor       -
1815.00  119.25   468    0.0  1.00  1.00  1.00  0  solid:0     30.00x1.50
1815.00  125.00   507    0.0  1.00  1.00  1.00  0  decor       -
1815.00  125.00   543    0.0  1.00  1.00  1.00  0  decor       -
1845.00   15.00   480    0.0  1.00  1.00  1.00  0  decor       -
1845.00   45.00   480    0.0  1.00  1.00  1.00  0  decor       -
1845.00   75.00   480    0.0  1.00  1.00  1.00  0  decor       -
1845.00  105.00   469   90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1845.00  105.00   479    0.0  1.00  1.00  1.00  0  decor       -
1845.00  125.00   506    0.0  1.00  1.00  1.00  0  decor       -
1845.00  125.00   542    0.0  1.00  1.00  1.00  0  decor       -
1859.25   15.00   468   90.0  1.00  1.00  1.00  0  solid:0     1.50x30.00
1859.25   45.00   468   90.0  1.00  1.00  1.00  0  solid:0     1.50x30.00
1859.25   75.00   468   90.0  1.00  1.00  1.00  0  solid:0     1.50x30.00
1873.00   15.00   453    0.0  1.00  1.00  1.00  0  decor       -
1873.00   45.00   453    0.0  1.00  1.00  1.00  0  decor       -
1873.00   75.00   453    0.0  1.00  1.00  1.00  0  decor       -
1873.00  105.00   454    0.0  1.00  1.00  1.00  0  decor       -
1873.62  712.19   221    0.0  1.00  1.00  1.00  0  decor       -
1875.00    7.00   446    0.0  1.00  1.00  1.00  0  hazard:0    9.00x7.20
1875.00   11.00   227    0.0  1.00  1.00  1.00  0  decor       -
1875.00  555.00    29    0.0  1.00  1.00  1.00  0  decor       -
1875.00  615.00    30    0.0  1.00  1.00  1.00  0  decor       -
1875.00  645.00   744    0.0  1.00  1.00  1.00  0  decor       -
1875.00  675.00   104    0.0  1.00  1.00  1.00  0  decor       -
1885.00  105.00   506  -90.0  1.00  1.00  1.00  0  decor       -
1885.00  105.00   542  -90.0  1.00  1.00  1.00  0  decor       -
1885.00  125.00   509    0.0  1.00  1.00  1.00  0  decor       -
1885.00  125.00   545    0.0  1.00  1.00  1.00  0  decor       -
1889.50  125.00   508    0.0  1.00  1.00  1.00  0  decor       -
1905.00    7.00   446    0.0  1.00  1.00  1.00  0  hazard:0    9.00x7.20
1905.00   11.00   227    0.0  1.00  1.00  1.00  0  decor       -
1905.00   72.00   107    0.0  1.00  1.00  1.00  0  decor       -
1905.00  105.00   467    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1905.00  105.00   477    0.0  1.00  1.00  1.00  0  decor       -
1905.00  125.00   542    0.0  1.00  1.00  1.00  0  decor       -
1905.00  135.00   216    0.0  1.00  1.00  1.00  0  hazard:0    6.00x12.00
1929.00   21.00   453    0.0  1.00  1.00  1.00  0  decor       -
1929.00   51.00   453    0.0  1.00  1.00  1.00  0  decor       -
1929.00   81.00   453    0.0  1.00  1.00  1.00  0  decor       -
1929.00  111.00   453    0.0  1.00  1.00  1.00  0  decor       -
1929.00  141.00   454    0.0  1.00  1.00  1.00  0  decor       -
1935.00    7.00   446    0.0  1.00  1.00  1.00  0  hazard:0    9.00x7.20
1935.00   11.00   227    0.0  1.00  1.00  1.00  0  decor       -
1945.00   15.00   507  -90.0  1.00  1.00  1.00  0  decor       -
1945.00   15.00   543  -90.0  1.00  1.00  1.00  0  decor       -
1945.00   45.00   507  -90.0  1.00  1.00  1.00  0  decor       -
1945.00   45.00   543  -90.0  1.00  1.00  1.00  0  decor       -
1945.00   75.00   507  -90.0  1.00  1.00  1.00  0  decor       -
1945.00   75.00   543  -90.0  1.00  1.00  1.00  0  decor       -
1945.00  105.00   507  -90.0  1.00  1.00  1.00  0  decor       -
1945.00  105.00   543  -90.0  1.00  1.00  1.00  0  decor       -
1945.00  135.00   507  -90.0  1.00  1.00  1.00  0  decor       -
1945.00  135.00   543  -90.0  1.00  1.00  1.00  0  decor       -
